,Sintering,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P
34,1,3.2,58,4.1,216.5 ,7.9,185.6,13.12,692.8,25.28,237.8,12557,458.2,887.65,32.39,1710.35,0.055172414,0.780487805,0.0147806,0.405063291,14.14634146,0.267898383,7.341772152,52.80487805,27.40506329,1.926829268,45.26829268,0.857274827,23.49367089,0.226206897,0.060600462,1.660759494,11.94482759,168.9756098,87.69620253,0.435862069,6.165853659,0.116766744,1.098383372,30.10126582,3062.682927,1589.493671,111.7560976,2.116397229,15.30431034,112.3607595,0.558448276,0.14960739,29.4887931,417.1585366,760.96,40182.4,1466.24,2840.48,103.648,5473.12,51483.7,1878.62,99200.3,7012.435,0.013456686,0.000254838,0.00698385,0.003605025,0.098795925,0.001870962
35,1,2.6,71,9.7,189.2 ,9,184.6,25.22,491.92,23.4,688.7,13433.2,639,1835.24,87.3,1702.8,0.036619718,0.268041237,0.013742072,0.288888889,7.319587629,0.375264271,7.888888889,19.50515464,21.02222222,0.927835052,19.03092784,0.975687104,20.51111111,0.355211268,0.133298097,2.802222222,6.928450704,50.71340206,54.65777778,0.329577465,2.412371134,0.123678647,3.640063425,76.52222222,1384.865979,1492.577778,65.87628866,3.377378436,25.8484507,203.9155556,1.229577465,0.46141649,23.98309859,175.5463918,1790.62,34926.32,1661.4,4771.624,226.98,4427.28,130302.04,6198.3,120898.8,16517.16,0.003775229,0.00019355,0.004068858,0.001416708,0.02978236,0.001526897
36,1,3.1,53,5.6,198.7 ,9,164.3,17.36,615.97,27.9,296.8,10531.1,477,1112.72,50.4,1788.3,0.058490566,0.553571429,0.015601409,0.344444444,9.464285714,0.26673377,5.888888889,35.48214286,22.07777778,1.607142857,29.33928571,0.826874685,18.25555556,0.32754717,0.087367891,1.928888889,11.62207547,109.9946429,68.44111111,0.526415094,4.982142857,0.140412682,1.493709109,32.97777778,1880.553571,1170.122222,85.17857143,2.400603926,20.99471698,123.6355556,0.950943396,0.253648717,33.74150943,319.3392857,920.08,32646.41,1478.7,3449.432,156.24,5543.73,58974.16,2671.2,94779.9,10014.48,0.010444744,0.000294366,0.006498952,0.002785966,0.061507937,0.00173349
37,1,4.5,50,8.3,193.6 ,9.1,225,37.35,871.2,40.95,415,9680,455,1606.88,75.53,1761.76,0.09,0.542168675,0.023243802,0.494505495,6.024096386,0.258264463,5.494505495,23.3253012,21.27472527,1.096385542,27.10843373,1.162190083,24.72527473,0.747,0.192923554,4.104395604,17.424,104.9638554,95.73626374,0.819,4.93373494,0.211518595,2.143595041,45.6043956,1166.26506,1063.736264,54.81927711,2.350206612,32.1376,176.5802198,1.5106,0.390134298,35.2352,212.260241,1867.5,43560,2047.5,7230.96,339.885,7927.92,80344,3776.5,88088,14622.608,0.010843373,0.000464876,0.00989011,0.002800458,0.059578975,0.002554264
38,1,2.7,88,5.3,183.9 ,8.3,237.6,14.31,496.53,22.41,466.4,16183.2,730.4,974.67,43.99,1526.37,0.030681818,0.509433962,0.014681892,0.325301205,16.60377358,0.478520935,10.60240964,34.69811321,22.15662651,1.566037736,44.83018868,1.292006525,28.62650602,0.162613636,0.077814029,1.724096386,5.642386364,93.68490566,59.82289157,0.254659091,4.228301887,0.121859706,2.536160957,56.19277108,3053.433962,1949.783133,137.8113208,3.971723763,11.07579545,117.4301205,0.499886364,0.23920609,17.34511364,287.9943396,1259.28,43694.64,1972.08,2631.609,118.773,4121.199,85770.96,3871.12,134320.56,8089.761,0.005789022,0.00016684,0.003696605,0.002770168,0.061377586,0.001768903
39,1,3,79,5.3,198.9 ,9.2,237,15.9,596.7,27.6,418.7,15713.1,726.8,1054.17,48.76,1829.88,0.037974684,0.566037736,0.015082956,0.326086957,14.90566038,0.397184515,8.586956522,37.52830189,21.61956522,1.735849057,44.71698113,1.191553544,25.76086957,0.201265823,0.079939668,1.72826087,7.553164557,112.5849057,64.85869565,0.349367089,5.20754717,0.138763198,2.105077929,45.51086957,2964.735849,1707.945652,137.1320755,3.654097536,13.34392405,114.5836957,0.61721519,0.245148316,23.16303797,345.2603774,1256.1,47139.3,2180.4,3162.51,146.28,5489.64,83279.43,3852.04,144560.52,9698.364,0.007165035,0.000190923,0.004127683,0.002845841,0.061525841,0.001639452
40,1,1.4,74,9.5,217.0 ,9.1,103.6,13.3,303.8,12.74,703,16058,673.4,2061.5,86.45,1974.7,0.018918919,0.147368421,0.006451613,0.153846154,7.789473684,0.341013825,8.131868132,22.84210526,23.84615385,0.957894737,10.90526316,0.477419355,11.38461538,0.17972973,0.061290323,1.461538462,4.105405405,31.97894737,33.38461538,0.172162162,1.341052632,0.058709677,3.239631336,77.25274725,1690.315789,1764.615385,70.88421053,3.103225806,27.85810811,226.5384615,1.168243243,0.398387097,26.68513514,207.8631579,984.2,22481.2,942.76,2886.1,121.03,2764.58,152551,6397.3,146127.8,18759.65,0.001991465,8.7184E-05,0.002079002,0.000679117,0.016194332,0.000708968
41,1,0.6,83,9,192.5 ,7.8,49.8,5.4,115.5,4.68,747,15977.5,647.4,1732.5,70.2,1501.5,0.007228916,0.066666667,0.003116883,0.076923077,9.222222222,0.431168831,10.64102564,21.38888889,24.67948718,0.866666667,5.533333333,0.258701299,6.384615385,0.065060241,0.028051948,0.692307692,1.391566265,12.83333333,14.80769231,0.056385542,0.52,0.024311688,3.880519481,95.76923077,1775.277778,2048.397436,71.93333333,3.363116883,20.87349398,222.1153846,0.845783133,0.364675325,18.09036145,166.8333333,448.2,9586.5,388.44,1039.5,42.12,900.9,143797.5,5826.6,124624.5,13513.5,0.000803213,3.75528E-05,0.000926784,0.00034632,0.008547009,0.0003996
42,1,3,77,6.7,232.7 ,7.5,231,20.1,698.1,22.5,515.9,17917.9,577.5,1559.09,50.25,1745.25,0.038961039,0.447761194,0.012892136,0.4,11.49253731,0.330898152,10.26666667,34.73134328,31.02666667,1.119402985,34.47761194,0.992694456,30.8,0.261038961,0.08637731,2.68,9.066233766,104.1940299,93.08,0.292207792,3.358208955,0.096691018,2.217017619,68.78666667,2674.313433,2389.053333,86.19402985,2.481736141,20.24792208,207.8786667,0.652597403,0.215943275,22.66558442,260.4850746,1547.7,53753.7,1732.5,4677.27,150.75,5235.75,120049.93,3869.25,134384.25,11693.175,0.00581508,0.00016743,0.005194805,0.001924199,0.059701493,0.001718951
43,1,4.7,67,7.1,138.4 ,8.7,314.9,33.37,650.48,40.89,475.7,9272.8,582.9,982.64,61.77,1204.08,0.070149254,0.661971831,0.033959538,0.540229885,9.436619718,0.484104046,7.701149425,19.49295775,15.90804598,1.225352113,44.35211268,2.275289017,36.1954023,0.498059701,0.241112717,3.835632184,9.708656716,91.61690141,74.76781609,0.610298507,5.75915493,0.295447977,3.437138728,54.67816092,1306.028169,1065.83908,82.09859155,4.211705202,14.66626866,112.9471264,0.921940299,0.446315029,17.97134328,169.5887324,2235.79,43582.16,2739.63,4618.408,290.319,5659.176,65836.88,4138.59,80673.36,8548.968,0.009880177,0.000506859,0.008063133,0.004783033,0.076088716,0.003903395
44,1,0.4,98,8.9,143.8 ,7.9,39.2,3.56,57.52,3.16,872.2,14092.4,774.2,1279.82,70.31,1136.02,0.004081633,0.04494382,0.002781641,0.050632911,11.01123596,0.681502086,12.40506329,16.15730337,18.20253165,0.887640449,4.404494382,0.272600834,4.962025316,0.036326531,0.024756606,0.450632911,0.586938776,6.462921348,7.281012658,0.032244898,0.35505618,0.021974965,6.065368567,110.4050633,1583.41573,1783.848101,86.98876404,5.383866481,13.05938776,162.0025316,0.71744898,0.488942976,11.59204082,127.6426966,348.88,5636.96,309.68,511.928,28.124,454.408,125422.36,6890.38,111329.96,10110.578,0.00045861,2.83841E-05,0.000516662,0.000312544,0.005689091,0.000352106
45,1,4.9,43,8.9,193.2 ,9,210.7,43.61,946.68,44.1,382.7,8307.6,387,1719.48,80.1,1738.8,0.113953488,0.550561798,0.025362319,0.544444444,4.831460674,0.222567288,4.777777778,21.70786517,21.46666667,1.011235955,23.6741573,1.09057971,23.41111111,1.014186047,0.225724638,4.845555556,22.01581395,106.3685393,105.1866667,1.025581395,4.95505618,0.22826087,1.980848861,42.52222222,933.4382022,923.0666667,43.48314607,2.00310559,39.98790698,191.0533333,1.862790698,0.414596273,40.4372093,195.3707865,1875.23,40707.24,1896.3,8425.452,392.49,8520.12,73937.64,3444.3,74768.4,15475.32,0.012803763,0.000589821,0.012661499,0.002849699,0.061173533,0.002818035
46,1,2.4,80,3.7,158.1 ,8.2,192,8.88,379.44,19.68,296,12648,656,584.97,30.34,1296.42,0.03,0.648648649,0.015180266,0.292682927,21.62162162,0.506008855,9.756097561,42.72972973,19.2804878,2.216216216,51.89189189,1.214421252,23.41463415,0.111,0.056166983,1.082926829,4.743,102.5513514,46.27317073,0.246,5.318918919,0.124478178,1.872232764,36.09756098,3418.378378,1542.439024,177.2972973,4.149272612,7.312125,71.33780488,0.37925,0.191903858,16.20525,350.3837838,710.4,30355.2,1574.4,1403.928,72.816,3111.408,46797.6,2427.2,103713.6,4796.754,0.008108108,0.000189753,0.003658537,0.004102775,0.079103494,0.001851252
47,1,1.9,87,6.9,146.5 ,8.9,165.3,13.11,278.35,16.91,600.3,12745.5,774.3,1010.85,61.41,1303.85,0.02183908,0.275362319,0.012969283,0.213483146,12.60869565,0.593856655,9.775280899,21.23188406,16.46067416,1.289855072,23.95652174,1.128327645,18.57303371,0.150689655,0.089488055,1.473033708,3.199425287,40.34057971,31.2752809,0.194367816,2.450724638,0.115426621,4.097610922,67.4494382,1847.173913,1432.078652,112.2173913,5.285324232,11.61896552,113.5786517,0.705862069,0.419180887,14.98678161,188.9637681,1140.57,24216.45,1471.17,1920.615,116.679,2477.315,87943.95,5342.67,113434.95,8996.565,0.003165084,0.000149072,0.002453829,0.001879606,0.030939586,0.001457223
48,1,2.9,44,7.1,210.4 ,7.8,127.6,20.59,610.16,22.62,312.4,9257.6,343.2,1493.84,55.38,1641.12,0.065909091,0.408450704,0.01378327,0.371794872,6.197183099,0.209125475,5.641025641,29.63380282,26.97435897,1.098591549,17.97183099,0.606463878,16.35897436,0.467954545,0.097861217,2.63974359,13.86727273,85.93802817,78.22564103,0.514090909,3.185915493,0.107509506,1.484790875,40.05128205,1303.887324,1186.871795,48.33802817,1.631178707,33.95090909,191.5179487,1.258636364,0.263212928,37.29818182,231.143662,905.96,26847.04,995.28,4332.136,160.602,4759.248,65728.96,2436.72,72209.28,11651.952,0.009282971,0.000313256,0.008449883,0.001941306,0.052365475,0.001767086
49,1,2.9,56,7.7,257.7 ,8.2,162.4,22.33,747.33,23.78,431.2,14431.2,459.2,1984.29,63.14,2113.14,0.051785714,0.376623377,0.011253395,0.353658537,7.272727273,0.217306946,6.829268293,33.46753247,31.42682927,1.064935065,21.09090909,0.630190144,19.80487805,0.39875,0.086651145,2.723170732,13.34517857,97.05584416,91.13780488,0.424642857,3.088311688,0.092277842,1.673263485,52.58536585,1874.181818,1759.902439,59.63636364,1.781916958,35.43375,241.9865854,1.1275,0.245013582,37.73464286,274.4337662,1250.48,41850.48,1331.68,5754.441,183.106,6128.106,111120.24,3535.84,118335.84,16271.178,0.006725417,0.000200953,0.006315331,0.00146148,0.04592968,0.001372365
50,1,0.9,67,8.9,219.0 ,8.8,60.3,8.01,197.1,7.92,596.3,14673,589.6,1949.1,78.32,1927.2,0.013432836,0.101123596,0.004109589,0.102272727,7.528089888,0.305936073,7.613636364,24.60674157,24.88636364,0.988764045,6.775280899,0.275342466,6.852272727,0.119552239,0.036575342,0.910227273,2.941791045,22.14606742,22.39772727,0.118208955,0.88988764,0.036164384,2.72283105,67.76136364,1648.651685,1667.386364,66.24719101,2.692237443,29.09104478,221.4886364,1.168955224,0.357625571,28.7641791,216.5393258,536.67,13205.7,530.64,1754.19,70.488,1734.48,130589.7,5247.44,129122.4,17152.08,0.001509307,6.13371E-05,0.001526459,0.000461752,0.011491318,0.000466999
51,1,3.4,75,2.9,225.5 ,9.4,255,9.86,766.7,31.96,217.5,16912.5,705,653.95,27.26,2119.7,0.045333333,1.172413793,0.015077605,0.361702128,25.86206897,0.332594235,7.978723404,77.75862069,23.9893617,3.24137931,87.93103448,1.130820399,27.12765957,0.131466667,0.043725055,1.04893617,10.22266667,264.3793103,81.56382979,0.426133333,11.02068966,0.14172949,0.964523282,23.13829787,5831.896552,1799.202128,243.1034483,3.126385809,8.719333333,69.56914894,0.363466667,0.120886918,28.26266667,730.9310345,739.5,57502.5,2397,2223.43,92.684,7206.98,49046.25,2044.5,158977.5,6147.13,0.015632184,0.000201035,0.004822695,0.005199174,0.124724872,0.001604001
